Date,Question,AcceptableAnswers,Difficulty,Fact
2026-04-18,"Who holds the UFC record for most wins with 27?",Jim Miller,Easy,"Jim Miller holds the UFC record with 27 wins inside the Octagon, making him the winningest fighter in UFC history. The durable lightweight has competed for well over a decade against the best in the division."
2026-04-18,Who did Brock Lesnar exact revenge against at UFC 100?,Frank Mir,Easy,Lesnar dominated and stopped Mir by TKO at UFC 100 avenging his submission loss from UFC 81 in front of one of the largest UFC crowds ever assembled.
2026-04-18,Who did Ronda Rousey fight in her UFC debut at UFC 157?,Liz Carmouche,Medium,Rousey submitted Carmouche with an armbar in the first round at UFC 157 to win the inaugural UFC women's bantamweight title in her promotional debut.
2026-04-18,Who did Lyoto Machida defeat at UFC 98 to become champion?,Rashad Evans,Medium,Machida knocked out Evans in the second round at UFC 98 with his signature karate style to claim the light heavyweight title and extend his unbeaten record.
2026-04-18,"Who is the only fighter to have victories over Rafael dos Anjos, Tony Ferguson, and Carlos Condit?",Michael Chiesa,Hard,"Chiesa holds wins over all three elite lightweights: dos Anjos by submission at UFC Fight Night 174 (2020), Ferguson by unanimous decision at UFC 262 (2021), and Condit by unanimous decision at UFC 232 (2018), making him the only fighter to have beaten all three."
2026-04-29,Who handed Jon Jones his only UFC loss by disqualification?,Matt Hamill,Easy,Jones was disqualified for repeatedly landing illegal downward elbows giving Hamill the technical victory. It remains the only loss on Jones UFC record and occurred before he ever won the championship.
2026-04-29,Which fighter is nicknamed The Spider?,Anderson Silva,Easy,Silva held the UFC middleweight title for over 2400 days making him one of the greatest champions in UFC history.
2026-04-29,"After knocking out Yoshihiro Akiyama at UFC 133 and submitting Anthony Johnson at UFC 142, who challenged Jon Jones for the Light Heavyweight title at UFC 152?",Vitor Belfort,Medium,"Belfort arrived at UFC 152 on momentum, having finished both Akiyama and Johnson impressively. Jones submitted him with a keylock (Americana) in the fourth round to retain his title in a fight Jones himself later called his most challenging to that point."
2026-04-29,Who did Demetrious Johnson defeat to win the inaugural UFC flyweight championship?,Joseph Benavidez,Medium,Johnson defeated Benavidez by split decision at UFC on Fox 2 in January 2012 to become the first flyweight champion.
2026-04-29,"Who is the only fighter to hold wins over Rafael Dos Anjos, Renan Barao, and Gilbert Melendez?",Jeremy Stephens,Hard,"Stephens holds victories over former UFC lightweight champion dos Anjos, former UFC bantamweight champion Barao, and former Strikeforce lightweight champion Melendez — three former champions across multiple divisions. Despite this elite resume, Stephens never captured a UFC title himself."
2026-05-02,Which fighter is known by the nickname Stylebender?,Israel Adesanya,Easy,Adesanya is a former kickboxing champion from New Zealand who brought his striking artistry to the UFC middleweight division.
2026-05-02,Who did Holly Holm knock out to win the UFC women's bantamweight title at UFC 193?,Ronda Rousey,Easy,Holm landed a head kick in the second round to shock the world and end Rousey's dominant title reign in front of over 56000 fans in Melbourne.
2026-05-02,Who did Ronda Rousey defeat in 14 seconds at UFC 184 to record the fastest finish of her UFC career?,Cat Zingano,Medium,Rousey submitted Zingano with an armbar just 14 seconds into their fight at UFC 184 the fastest finish in UFC women's bantamweight history and the quickest win of Rousey's legendary title reign.
2026-05-02,Who holds the record for the fastest knockout in UFC history?,Jorge Masvidal,Medium,Masvidal knocked out Ben Askren in just 5 seconds at UFC 239 with a flying knee setting the all-time UFC record.
2026-05-02,Who did Cris Cyborg defeat to win the inaugural UFC women's featherweight title?,Tonya Evinger,Hard,Cyborg demolished Evinger in the third round at UFC 214 to claim the first ever UFC women's featherweight championship.
2026-05-04,Who won the very first UFC tournament at UFC 1 in 1993?,Royce Gracie,Easy,Gracie submitted all three opponents in one night to win UFC 1 introducing Brazilian jiu-jitsu to the world and forever changing combat sports.
2026-05-04,Which fighter is nicknamed The Notorious?,Conor McGregor,Easy,McGregor earned his nickname during his rise through the Irish MMA scene before becoming a two-division UFC champion.
2026-05-04,Who did Amanda Nunes defeat to win her first UFC bantamweight title?,Miesha Tate,Medium,Nunes stopped Tate in the first round at UFC 200 to begin one of the most dominant championship reigns in UFC history.
2026-05-04,Who did Khabib Nurmagomedov defeat to win the vacant UFC lightweight championship?,Al Iaquinta,Medium,"Khabib defeated Iaquinta by unanimous decision at UFC 223 in April 2018 to win the vacant lightweight title. Iaquinta stepped in on short notice after multiple opponents fell out, and pushed Khabib for five rounds despite being a significant underdog."
2026-05-04,"What fighter was knocked out in 7 seconds at UFC 149 by Ryan Jimmo, and in the very next fight won by knockout in 14 seconds over Vinny Magalhaes at UFC 163?",Anthony Perosh,Hard,Perosh holds the unique distinction of suffering one of the fastest knockouts in UFC history (7 seconds vs Jimmo at UFC 149) and then responding with one of the fastest knockouts of his own (14 seconds vs Magalhaes at UFC 163). The back-to-back quick finishes made him one of the most memorable light heavyweights of that era.
2026-05-06,Who did Robert Whittaker defeat by split decision in a rematch at UFC 225?,Yoel Romero,Easy,Whittaker edged Romero in a close split decision at UFC 225 in Chicago. Their first fight at UFC 213 had also been controversial with many scoring it for Romero.
2026-05-06,Which fighter is nicknamed Blessed?,Max Holloway,Easy,Holloway is widely regarded as one of the greatest featherweights in UFC history with the most significant strikes landed in divisional history.
2026-05-06,Who did Max Holloway defeat to win the interim UFC featherweight championship?,Anthony Pettis,Medium,Holloway defeated Pettis by TKO at UFC Fight Night 103 in December 2016 to win the interim featherweight title. He then unified it against Jose Aldo at UFC 212 in June 2017 to become undisputed champion.
2026-05-06,Who did Tony Ferguson defeat to win the interim UFC lightweight championship?,Kevin Lee,Medium,Ferguson submitted Lee with a triangle choke in the third round at UFC 216 to claim the interim lightweight title.
2026-05-06,Who did Carlos Condit defeat to win the interim UFC welterweight championship?,Nick Diaz,Hard,Condit defeated Diaz by unanimous decision at UFC 143 in a fight many felt Diaz had won earning him a shot at GSP.
2026-05-09,Who did Conor McGregor defeat by majority decision at UFC 202 in their welterweight rematch?,Nate Diaz,Easy,McGregor won the UFC 202 rematch against Diaz by majority decision in a five-round war. Diaz had submitted McGregor at UFC 196 in one of the biggest upsets in UFC history. Both earned Fight of the Night bonuses.
2026-05-09,Which fighter is nicknamed The Eagle?,Khabib Nurmagomedov,Easy,Khabib retired undefeated at 29-0 after submitting Justin Gaethje at UFC 254 and dedicated the win to his late father.
2026-05-09,Who did Tito Ortiz defeat at UFC 25 to win the vacant UFC light heavyweight title?,Wanderlei Silva,Medium,Ortiz defeated Silva by unanimous decision at UFC 25 in May 2000 to win the vacant UFC light heavyweight title. The title was vacant after Frank Shamrock vacated it. Silva was 13-3 at the time entering the fight.
2026-05-09,"At 43 years old, who knocked off Tim Sylvia to win the UFC Heavyweight Championship at UFC 68?",Randy Couture,Medium,"Couture came out of retirement at 43 to upset the heavily favored Sylvia at UFC 68 in Columbus, Ohio in March 2007. He dominated the much younger champion for five rounds, winning a unanimous decision to claim the heavyweight title for a third time."
2026-05-09,"What fighter had this four-fight winning streak: Split Decision over John Dodson, KO over Aljamain Sterling, KO over Jimmie Rivera, and Submission over Raphael Assuncao?",Marlon Moraes,Hard,"Moraes went on a dominant run through the bantamweight division, defeating Sterling, Rivera, and Assuncao in succession to earn a UFC bantamweight title shot against Henry Cejudo at UFC 238, where he was stopped in round 3."
2026-05-11,Who did Khabib Nurmagomedov submit with a triangle choke in round 2 to defend his UFC lightweight title for the final time at UFC 254?,Justin Gaethje,Easy,"Khabib submitted interim champion Gaethje in round 2 at UFC 254, then announced his retirement in the Octagon. He finished 29-0, never losing a round in his final three fights."
2026-05-11,Which fighter is nicknamed DC?,Daniel Cormier,Easy,Cormier is a former Olympic wrestler who became a two-division UFC champion holding titles at both light heavyweight and heavyweight.
2026-05-11,"Debuting at TUF: Heavyweights Finale, who did Kimbo Slice defeat for his lone UFC victory by decision?",Houston Alexander,Medium,"Kimbo Slice, the internet fighting sensation, made his only UFC win by defeating Alexander at The Ultimate Fighter: Heavyweights Finale in December 2009 via unanimous decision. It was his lone UFC victory before his contract ended."
2026-05-11,Who did Joanna Jedrzejczyk defeat to win her first UFC strawweight title?,Carla Esparza,Medium,Jedrzejczyk knocked out Esparza in the second round at UFC 185 to begin a dominant strawweight title reign.
2026-05-11,"What fighter had this four-fight winning streak: KO over Scott Holtzman, Submission over Jeremy Stephens, TKO over Carlos Diego Ferreira, and Unanimous Decision over Arman Tsarukyan?",Mateusz Gamrot,Hard,"Gamrot went on this impressive run through the lightweight division to establish himself as one of the top contenders. His wins over Stephens, Ferreira, and Tsarukyan in particular showcased his elite grappling and well-rounded skillset."
2026-05-13,Who did Miesha Tate defeat to win the UFC women's bantamweight title?,Holly Holm,Easy,Tate submitted Holm with a rear naked choke in the fifth round at UFC 196 in one of the most dramatic finishes in UFC history.
2026-05-13,Which fighter is nicknamed The Korean Zombie?,Chan Sung Jung,Easy,Jung earned his nickname for his relentless pressure and durability and is one of South Korea's most celebrated MMA fighters.
2026-05-13,Who did BJ Penn submit to win the UFC welterweight title at UFC 46?,Matt Hughes,Medium,Penn caught Hughes in a triangle armbar at UFC 46 to win the welterweight title becoming the first fighter to hold titles in two weight classes.
2026-05-13,Who did Jose Aldo defeat in his first UFC featherweight title defense after the WEC merger?,Mark Hominick,Medium,Aldo defeated Hominick by unanimous decision at UFC 129 in front of over 55000 fans in Montreal in one of the most attended UFC events ever held at the time.
2026-05-13,Who did Rose Namajunas defeat by split decision in a non-title strawweight rematch at UFC 251?,Jessica Andrade,Hard,Namajunas defeated Andrade by split decision at UFC 251 in July 2020 on Fight Island in a non-title fight — Weili Zhang held the title at the time. Rose used her jiu-jitsu and movement to edge out the decision over the powerful Andrade.
2026-05-16,Who did Anderson Silva knock out with a front kick at UFC 126 to make one of the most memorable finishes of his title reign?,Vitor Belfort,Easy,Silva landed a perfectly timed front kick to the chin of Belfort at UFC 126 in one of the most technically brilliant finishes in UFC history during his legendary middleweight title reign.
2026-05-16,Which fighter is nicknamed The Huntington Beach Bad Boy?,Tito Ortiz,Easy,Ortiz was one of the most popular and controversial fighters of the early UFC era and held the light heavyweight title for three years.
